employee_id,payroll_month,base_salary,overtime,bonus,tax,net_pay
E000001,2025-01-01,6500,404,0,1242.72,5661.28
E000001,2025-02-01,6500,644,0,1285.92,5858.08
E000001,2025-03-01,6500,345,500,1322.1,6022.9
E000001,2025-04-01,6500,77,0,1183.86,5393.14
E000001,2025-05-01,6500,72,0,1182.96,5389.04
E000001,2025-06-01,6500,46,0,1178.28,5367.72
E000001,2025-07-01,6500,238,0,1212.84,5525.16
E000001,2025-08-01,6500,106,1000,1369.08,6236.92
E000001,2025-09-01,6500,572,0,1272.96,5799.04
E000001,2025-10-01,6500,256,0,1216.08,5539.92
E000001,2025-11-01,6500,252,2000,1575.36,7176.64
E000001,2025-12-01,6500,302,0,1224.36,5577.64
E000002,2025-01-01,4500,725,0,940.5,4284.5
E000002,2025-02-01,4500,27,0,814.86,3712.14
E000002,2025-03-01,4500,215,0,848.7,3866.3
E000002,2025-04-01,4500,665,0,929.7,4235.3
E000002,2025-05-01,4500,311,0,865.98,3945.02
E000002,2025-06-01,4500,2,500,900.36,4101.64
E000002,2025-07-01,4500,749,0,944.82,4304.18
E000002,2025-08-01,4500,507,0,901.26,4105.74
E000002,2025-09-01,4500,505,0,900.9,4104.1
E000002,2025-10-01,4500,14,0,812.52,3701.48
E000002,2025-11-01,4500,630,0,923.4,4206.6
E000002,2025-12-01,4500,713,0,938.34,4274.66
E000003,2025-01-01,9000,272,0,1668.96,7603.04
E000003,2025-02-01,9000,473,0,1705.14,7767.86
E000003,2025-03-01,9000,536,500,1806.48,8229.52
E000003,2025-04-01,9000,211,0,1657.98,7553.02
E000003,2025-05-01,9000,393,500,1780.74,8112.26
E000003,2025-06-01,9000,108,0,1639.44,7468.56
E000003,2025-07-01,9000,227,0,1660.86,7566.14
E000003,2025-08-01,9000,33,0,1625.94,7407.06
E000003,2025-09-01,9000,368,0,1686.24,7681.76
E000003,2025-10-01,9000,553,0,1719.54,7833.46
E000003,2025-11-01,9000,517,500,1803.06,8213.94
E000003,2025-12-01,9000,319,0,1677.42,7641.58
E000005,2025-01-01,9000,314,2000,2036.52,9277.48
E000005,2025-02-01,9000,740,1000,1933.2,8806.8
E000005,2025-03-01,9000,436,0,1698.48,7737.52
E000005,2025-04-01,9000,709,0,1747.62,7961.38
E000005,2025-05-01,9000,623,0,1732.14,7890.86
E000005,2025-06-01,9000,445,0,1700.1,7744.9
E000005,2025-07-01,9000,606,0,1729.08,7876.92
E000005,2025-08-01,9000,136,0,1644.48,7491.52
E000005,2025-09-01,9000,242,0,1663.56,7578.44
E000005,2025-10-01,9000,228,2000,2021.04,9206.96
E000005,2025-11-01,9000,222,500,1749.96,7972.04
E000005,2025-12-01,9000,467,1000,1884.06,8582.94
E000007,2025-01-01,9000,3,0,1620.54,7382.46
E000007,2025-02-01,9000,117,0,1641.06,7475.94
E000007,2025-03-01,9000,503,0,1710.54,7792.46
E000007,2025-04-01,9000,573,1000,1903.14,8669.86
E000007,2025-05-01,9000,714,0,1748.52,7965.48
E000007,2025-06-01,9000,434,500,1788.12,8145.88
E000007,2025-07-01,9000,644,0,1735.92,7908.08
E000007,2025-08-01,9000,117,0,1641.06,7475.94
E000007,2025-09-01,9000,723,0,1750.14,7972.86
E000007,2025-10-01,9000,112,0,1640.16,7471.84
E000007,2025-11-01,9000,0,0,1620.0,7380.0
E000007,2025-12-01,9000,319,0,1677.42,7641.58
E000008,2025-01-01,3000,138,1000,744.84,3393.16
E000008,2025-02-01,3000,258,0,586.44,2671.56
E000008,2025-03-01,3000,689,0,664.02,3024.98
E000008,2025-04-01,3000,260,0,586.8,2673.2
E000008,2025-05-01,3000,171,0,570.78,2600.22
E000008,2025-06-01,3000,167,500,660.06,3006.94
E000008,2025-07-01,3000,320,0,597.6,2722.4
E000008,2025-08-01,3000,328,500,689.04,3138.96
E000008,2025-09-01,3000,549,0,638.82,2910.18
E000008,2025-10-01,3000,605,0,648.9,2956.1
E000008,2025-11-01,3000,580,500,734.4,3345.6
E000008,2025-12-01,3000,235,0,582.3,2652.7
E000009,2025-01-01,9000,375,2000,2047.5,9327.5
E000009,2025-02-01,9000,587,0,1725.66,7861.34
E000009,2025-03-01,9000,512,0,1712.16,7799.84
E000009,2025-04-01,9000,571,500,1812.78,8258.22
E000009,2025-05-01,9000,778,500,1850.04,8427.96
E000009,2025-06-01,9000,269,500,1758.42,8010.58
E000009,2025-07-01,9000,290,0,1672.2,7617.8
E000009,2025-08-01,9000,4,0,1620.72,7383.28
E000009,2025-09-01,9000,77,0,1633.86,7443.14
E000009,2025-10-01,9000,131,0,1643.58,7487.42
E000009,2025-11-01,9000,41,0,1627.38,7413.62
E000009,2025-12-01,9000,295,0,1673.1,7621.9
E000010,2025-01-01,9000,615,0,1730.7,7884.3
E000010,2025-02-01,9000,690,0,1744.2,7945.8
E000010,2025-03-01,9000,22,0,1623.96,7398.04
E000010,2025-04-01,9000,664,0,1739.52,7924.48
E000010,2025-05-01,9000,502,0,1710.36,7791.64
E000010,2025-06-01,9000,615,0,1730.7,7884.3
E000010,2025-07-01,9000,38,0,1626.84,7411.16
E000010,2025-08-01,9000,645,0,1736.1,7908.9
E000010,2025-09-01,9000,178,0,1652.04,7525.96
E000010,2025-10-01,9000,447,0,1700.46,7746.54
E000010,2025-11-01,9000,622,0,1731.96,7890.04
E000010,2025-12-01,9000,477,500,1795.86,8181.14
E000011,2025-01-01,16000,419,2000,3315.42,15103.58
E000011,2025-02-01,16000,440,0,2959.2,13480.8
E000011,2025-03-01,16000,410,0,2953.8,13456.2
E000011,2025-04-01,16000,253,0,2925.54,13327.46
E000011,2025-05-01,16000,521,0,2973.78,13547.22
E000011,2025-06-01,16000,117,500,2991.06,13625.94
E000011,2025-07-01,16000,158,0,2908.44,13249.56
E000011,2025-08-01,16000,215,0,2918.7,13296.3
